LSOA code,lad_code,Year,lsoa_share,predicted_demand_points,latitude,longitude,allocation_tier,capacity_units_per_100
E01012432,E06000006,2026,0.0132201529215079,260.7365623839364,53.32604022222222,-2.6627621111111113,Reserve / spike watch,0.008141257806590906
E01012433,E06000006,2026,0.01672909894252,329.9423067154563,53.322542385714286,-2.6598353035714286,Priority patrol and problem-solving,0.010302143112236218
E01012434,E06000006,2026,0.0069121286402032,136.32555319916526,53.333609,-2.666249,Routine baseline coverage,0.0042566392073016945
E01012435,E06000006,2026,0.0053120910181795,104.7685574723844,53.32923785714286,-2.67173705,Routine baseline coverage,0.003271301226835022
E01012436,E06000006,2026,0.0174444535971587,344.05100232913577,53.322458544117644,-2.67215681302521,Priority patrol and problem-solving,0.010742674072894306
E01012437,E06000006,2026,0.0162426428381963,320.34809905801734,53.32093007142857,-2.679472893939394,Priority patrol and problem-solving,0.010002572859123182
E01012438,E06000006,2026,0.0177153802039036,349.3943952929246,53.321730583333334,-2.6660196944444445,Priority patrol and problem-solving,0.01090951657201444
E01012439,E06000006,2026,0.0160246350273774,316.04840543849184,53.317883936363636,-2.682481732142857,Priority patrol and problem-solving,0.009868318905915168
E01012440,E06000006,2026,0.0106102713781338,209.2627597820349,53.31656975,-2.673882775,Routine baseline coverage,0.006534035967673742
E01012441,E06000006,2026,0.0178449429223614,351.9497165531544,53.35835762222222,-2.730741132051282,Priority patrol and problem-solving,0.010989304113002115
E01012442,E06000006,2026,0.0178748871557745,352.5402964450596,53.365034427272725,-2.7592998459383757,Priority patrol and problem-solving,0.011007744423449671
E01012443,E06000006,2026,0.0129534507549333,255.47648661129583,53.36396184615385,-2.7565854650349655,Routine baseline coverage,0.007977016809640844
E01012444,E06000006,2026,0.0176005792872128,347.13021600890346,53.337006063888886,-2.67747081884058,Priority patrol and problem-solving,0.010838819669734908
E01012445,E06000006,2026,0.017998820807072,354.984597535588,53.33949275396826,-2.672117302197802,Priority patrol and problem-solving,0.01108406546240554
E01012446,E06000007,2026,0.0019185526927798,36.446620627694536,53.362401250000005,-2.5679593166666668,Routine baseline coverage,0.001138011991859243
E01012447,E06000007,2026,0.0008742648417513,16.608352293558863,53.3501095,-2.562789857142857,Routine baseline coverage,0.0005185804266508897
E01012448,E06000007,2026,0.0023140277734029,43.95943499313789,53.350366055555554,-2.5443250833333333,Routine baseline coverage,0.0013725926660957545
E01012449,E06000007,2026,0.0010734135014169,20.391566418799428,53.349486999999996,-2.574731,Routine baseline coverage,0.0006367077857351379
E01012450,E06000007,2026,0.0036874191979588,70.04966249248687,53.36476518333333,-2.575636988095238,Routine baseline coverage,0.002187235869038794
E01012451,E06000007,2026,0.0089712198681852,170.42567990646205,53.3652505,-2.571645,Routine baseline coverage,0.005321384098556051
E01012452,E06000007,2026,0.0009157652139958,17.396732163861188,53.359166916666666,-2.58250375,Routine baseline coverage,0.0005431968583280351
E01012453,E06000007,2026,0.0154364132537251,293.2445378373479,53.40910617272727,-2.6036136783625734,Reserve / spike watch,0.009156289248736117
E01012454,E06000007,2026,0.0122414733190355,232.55047185410947,53.39875332954546,-2.606285730994152,Routine baseline coverage,0.007261173220581311
E01012455,E06000007,2026,0.015478171733919,294.0378209675662,53.403062570434784,-2.6038208695652174,Reserve / spike watch,0.009181058780165377
E01012457,E06000007,2026,0.0131690831658959,250.1722157375402,53.3931350536566,-2.612242738970588,Routine baseline coverage,0.007811395861568177
E01012458,E06000007,2026,0.0110720688130046,210.3353705686349,53.385041817934784,-2.616366181372549,Routine baseline coverage,0.006567527246610611
E01012459,E06000007,2026,0.0134071632806767,254.6950081815901,53.416414029304036,-2.522753712777778,Routine baseline coverage,0.007952615869057928
E01012460,E06000007,2026,0.0092710864119193,176.12222511970756,53.42154796710526,-2.5264171842105263,Routine baseline coverage,0.005499253449765961
E01012461,E06000007,2026,0.0031212778012076,59.29471122809078,53.428681000000005,-2.5021366666666665,Routine baseline coverage,0.0018514224712544115
E01012462,E06000007,2026,0.0064974506285284,123.43164667634176,53.428852375,-2.507779575,Routine baseline coverage,0.0038540389115218595
E01012463,E06000007,2026,0.0030298228910243,57.5573482520653,53.42120396428571,-2.537153,Routine baseline coverage,0.0017971749205383677
E01012464,E06000007,2026,0.0080755681415922,153.41104235362232,53.425266625,-2.5340079500000003,Routine baseline coverage,0.004790117790766817
E01012465,E06000007,2026,0.009254489946525,175.80694314686278,53.41959489285715,-2.5132949285714288,Routine baseline coverage,0.005489409062008328
E01012466,E06000007,2026,0.0159413226882099,302.83626950010824,53.42052028571429,-2.5192210454545454,Reserve / spike watch,0.009455782191207249
E01012467,E06000007,2026,0.0051975636599682,98.73777854319736,53.431721124999996,-2.6502906666666664,Routine baseline coverage,0.003082995737232185
E01012468,E06000007,2026,0.0099930453078801,189.83723127455357,53.43075218055556,-2.602129269230769,Routine baseline coverage,0.005927491821495225
E01012469,E06000007,2026,0.0101950468968194,193.67464231151212,53.43401530833333,-2.6545582928571427,Routine baseline coverage,0.006047311428979862
E01012470,E06000007,2026,0.0114963393840753,218.3952109918372,53.42822775,-2.658897125,Routine baseline coverage,0.006819188303139579
E01012471,E06000007,2026,0.0028418286066841,53.986033068851,53.440440714285714,-2.525544925,Routine baseline coverage,0.0016856639097721565
E01012472,E06000007,2026,0.0035162115951341,66.79724280539143,53.43951886666667,-2.557100277777778,Routine baseline coverage,0.0020856820749495498
E01012473,E06000007,2026,0.0032252705366634,61.2702544547424,53.4554633125,-2.5151507272727276,Routine baseline coverage,0.001913106979821922
E01012474,E06000007,2026,0.0112051612777902,212.86371945928508,53.45128601388889,-2.5197688333333335,Routine baseline coverage,0.006646472600325451
E01012475,E06000007,2026,0.007189076518842,136.5704186972603,53.45243261818182,-2.5098655,Routine baseline coverage,0.004264284905817101
E01012476,E06000007,2026,0.0073448028303708,139.52874130127296,53.47067655357143,-2.4952719476190475,Routine baseline coverage,0.004356655790721489
E01012477,E06000007,2026,0.0010303782312911,19.574028193350664,53.458432458333334,-2.5298616999999997,Routine baseline coverage,0.0006111809114093173
E01012478,E06000007,2026,0.0092243773531847,175.23489617118034,53.394919515151514,-2.567702386904762,Routine baseline coverage,0.005471547424714614
E01012479,E06000007,2026,0.0144263712269456,274.05683519743747,53.39352627205882,-2.5774087463768116,Reserve / spike watch,0.008557170995126206
E01012480,E06000007,2026,0.0145337359449951,276.0964357579406,53.38879131235698,-2.583892276497696,Reserve / spike watch,0.00862085563464781
E01012481,E06000007,2026,0.0118739880782162,225.56937865358165,53.39852413636363,-2.5712890416666667,Routine baseline coverage,0.007043195047525374
E01012482,E06000007,2026,0.0144046775636392,273.6447220876289,53.400424916666665,-2.579459904040404,Reserve / spike watch,0.008544303144749752
E01012483,E06000007,2026,0.015954451312735,303.08567312567993,53.39639028333333,-2.589418086956522,Reserve / spike watch,0.009463569588552342
E01012485,E06000007,2026,0.0048716458354482,92.54633884451898,53.380705375000005,-2.5421484999999997,Routine baseline coverage,0.0028896737638194996
E01012486,E06000007,2026,0.0017366550056988,32.99112210579032,53.3783525,-2.5498577,Routine baseline coverage,0.0010301172491353925
E01012487,E06000007,2026,0.001901487347349,36.12243137131443,53.376797499999995,-2.543278583333333,Routine baseline coverage,0.0011278894824183498
E01012488,E06000007,2026,0.0018556804780269,35.252241256334386,53.37735633333333,-2.526548,Routine baseline coverage,0.0011007186015797523
E01012489,E06000007,2026,0.001641959628245,31.19220018394491,53.37096025,-2.5535567500000003,Routine baseline coverage,0.0009739475773188795
E01012490,E06000007,2026,0.0012382088637536,23.522173190714124,53.3822505,-2.53191,Routine baseline coverage,0.0007344580843054127
E01012491,E06000007,2026,0.0085691788124961,162.78813214006252,53.39666413461538,-2.661193625,Routine baseline coverage,0.005082908739335614
E01012492,E06000007,2026,0.0029033320683704,55.15441032729486,53.3940395,-2.652492666666667,Routine baseline coverage,0.001722145408144996
E01012493,E06000007,2026,0.0035018022055314,66.523508569004,53.3923745,-2.663566,Routine baseline coverage,0.0020771349768036484
E01012494,E06000007,2026,0.0016198491184915,30.77216826931336,53.3970292,-2.6709680999999996,Routine baseline coverage,0.0009608324695919623
E01012495,E06000007,2026,0.0033985925204135,64.56284089865517,53.3843751,-2.6357290874999997,Routine baseline coverage,0.0020159149437119594
E01012496,E06000007,2026,0.0050430218981836,95.80195875357312,53.387708,-2.6384582857142855,Routine baseline coverage,0.0029913274818770814
E01012497,E06000007,2026,0.0118432178468721,224.98483857154795,53.392223202380954,-2.62318425,Routine baseline coverage,0.007024943324550233
E01012498,E06000007,2026,0.0126501226443502,240.31355648845903,53.39156133333333,-2.629272388888889,Routine baseline coverage,0.007503568352298817
E01012499,E06000007,2026,0.0068875635836459,130.84259709257194,53.3914415,-2.63523425,Routine baseline coverage,0.004085438978235745
E01012500,E06000007,2026,0.0033560403583628,63.7544802458633,53.39111525,-2.648525,Routine baseline coverage,0.001990674630597023
E01012501,E06000007,2026,0.0071208596039066,135.2745064044151,53.38592375,-2.6269877916666666,Routine baseline coverage,0.004223821244049375
E01012502,E06000007,2026,0.0026539633176758,50.41716840155942,53.36263566666667,-2.603696222222222,Routine baseline coverage,0.0015742294140972833
E01012503,E06000007,2026,0.0027698607628339,52.61886462355738,53.339322589285715,-2.5738491666666667,Routine baseline coverage,0.0016429753406033193
E01012505,E06000007,2026,0.0115551971621364,219.5133283706573,53.37778725396826,-2.574267175824176,Routine baseline coverage,0.006854100483294812
E01012506,E06000007,2026,0.0140802390619105,267.48138498772823,53.38734630409357,-2.561290451923077,Reserve / spike watch,0.008351858648970402
E01012507,E06000007,2026,0.0131140251192896,249.1262816098452,53.382027442857144,-2.5636675124223602,Routine baseline coverage,0.007778737536612053
E01012508,E06000007,2026,0.0150386498264727,285.6882518999341,53.384630214285714,-2.5582487857142855,Reserve / spike watch,0.008920351214904797
E01012509,E06000007,2026,0.0045153477947351,85.77776815624343,53.37367316666667,-2.591580685064935,Routine baseline coverage,0.0026783314094846913
E01012510,E06000007,2026,0.0110725506666558,210.3445243110836,53.38185712151703,-2.586490897058823,Routine baseline coverage,0.006567813063745304
E01012511,E06000007,2026,0.0130787002306521,248.4552169996657,53.38290757857143,-2.5781092407407407,Routine baseline coverage,0.007757784165338001
E01012512,E06000007,2026,0.0037839739361646,71.88390656951317,53.379573,-2.5932376666666666,Routine baseline coverage,0.0022445084424544647
E01012513,E06000007,2026,0.0028406987961928,53.9645701324862,53.37754829166666,-2.481771333333333,Routine baseline coverage,0.0016849937494515836
E01012514,E06000007,2026,0.0026215945554401,49.802261132225205,53.38035095238095,-2.4664336666666666,Routine baseline coverage,0.0015550295038084256
E01012515,E06000007,2026,0.0081993055098854,155.7616730851213,53.370311682692304,-2.5011240363247866,Routine baseline coverage,0.004863514059469051
E01012516,E06000007,2026,0.0055907654599694,106.20740754463276,53.3812712,-2.4790725,Routine baseline coverage,0.0033162279884525847
E01012517,E06000007,2026,0.0017748323302448,33.71637425525799,53.38757444642857,-2.4621881,Routine baseline coverage,0.0010527625761643886
E01012518,E06000007,2026,0.0030430625067679,57.80886037059017,53.381095,-2.4537495625,Routine baseline coverage,0.0018050281536241732
E01012519,E06000007,2026,0.0040562818413788,77.0569221205651,53.384131000000004,-2.488681375,Routine baseline coverage,0.002406031064573733
E01012520,E06000007,2026,0.0147938826644275,281.0384260542589,53.40794407773109,-2.5921038155922043,Reserve / spike watch,0.008775164707039249
E01012521,E06000007,2026,0.0109507603054086,208.03088074570596,53.410779175,-2.5840119062499998,Routine baseline coverage,0.0064955716850676045
E01012522,E06000007,2026,0.0135005610972122,256.4692804231251,53.410720874999996,-2.5781286333333338,Routine baseline coverage,0.008008015877424012
E01012523,E06000007,2026,0.0120045649295156,228.04993859857615,53.40163240241935,-2.5830181358974356,Routine baseline coverage,0.007120648235648511
E01012524,E06000007,2026,0.0058108949176636,110.38919252440148,53.40543188888889,-2.576642,Routine baseline coverage,0.0034468003535277026
E01012525,E06000007,2026,0.0120715386793758,229.3222345654022,53.40199531818182,-2.591384990430622,Routine baseline coverage,0.007160374499497017
E01012526,E06000007,2026,0.0147624160706099,280.44065721964074,53.41329385555556,-2.5932570384615383,Reserve / spike watch,0.008756499928510008
E01012527,E06000007,2026,0.0068623027774162,130.362719200832,53.384618675,-2.6478373333333334,Routine baseline coverage,0.004070455235270747
E01012528,E06000007,2026,0.0037991333820562,72.17188957640073,53.38099166666667,-2.654592,Routine baseline coverage,0.0022535004452696908
E01012529,E06000007,2026,0.0055251657849614,104.96121478833612,53.38340645,-2.6620112000000002,Routine baseline coverage,0.0032773167731901176
E01012530,E06000007,2026,0.0045824562030167,87.0526222203364,53.37698280357143,-2.6694361071428574,Routine baseline coverage,0.0027181375475524242
E01012531,E06000007,2026,0.0032107900987518,60.995170518255776,53.388259,-2.6600835,Routine baseline coverage,0.0019045177385397893
E01012532,E06000007,2026,0.0045687086466402,86.79146078666966,53.386643,-2.654227,Routine baseline coverage,0.002709983023533315
E01012533,E06000007,2026,0.0164262784117739,312.0489418152776,53.41506596969697,-2.572701277777778,Priority patrol and problem-solving,0.009743439356430569
E01012534,E06000007,2026,0.014678189050475,278.8406020004064,53.41604305050505,-2.5791660666666667,Reserve / spike watch,0.008706539685399238
E01012535,E06000007,2026,0.0137963044944859,262.0874984914355,53.41453516666667,-2.5852406644736843,Reserve / spike watch,0.008183439536037762
E01012536,E06000007,2026,0.0138045689393439,262.2444976124771,53.411543300000005,-2.574737633333333,Reserve / spike watch,0.008188341688264213
